159,,,会所接待专员,,,陕西省富源酒业有限公司,,,西安,,,2-3千/月,,,09-26
160,,,底薪5000起 非销售朝九晚五+五险一金 聘金融交易员,,,西安鼎鑫汇业商务信息咨询有限公司,,,西安-未央区,,,0.5-1.2万/月,,,09-27
161,,,市场管培生,,,西安韦博英语培训学校,,,西安-高新技术产业开发区,,,4.5-6千/月,,,09-26
162,,,连锁冰淇淋店长-店区6000-8000+,,,西安曲江新区开元淇蔻冰淇淋店,,,西安-曲江文化新区,,,6-8千/月,,,09-26
163,,,食堂厨师,,,陕西华威科技股份有限公司,,,西安-西咸新区,,,2-3千/月,,,09-26
164,,,餐厅服务员,,,西安左右客酒店管理有限公司,,,西安-新城区,,,2.5-3千/月,,,09-26
165,,,礼宾员,,,西安经发物业管理有限责任公司,,,西安-未央区,,,4-4.5千/月,,,09-26
166,,,前厅主管,,,上海爱宝健企业管理服务有限公司西安分公司,,,西安-长安区,,,3-4.5千/月,,,09-26
167,,,店长,,,陕西博澳汽车维修服务有限公司,,,西安-雁塔区,,,6-8千/月,,,09-26
168,,,西餐服务员,,,西安啪啪派餐饮管理有限公司,,,西安,,,2.8-3.5千/月,,,09-26
169,,,杂工/洗碗工,,,锅品面吧,,,西安,,,2-3千/月,,,09-26
170,,,收银员,,,西安讯捷通讯有限公司,,,西安-新城区,,,3-4.5千/月,,,09-26
171,,,酒店店长,,,北京万爱酒店管理有限公司,,,西安,,,7-9千/月,,,09-26
172,,,餐厅服务员,,,西安曲江圣境城市发展服务有限公司,,,西安,,,2-2.5千/月,,,09-26
173,,,幼儿园主厨,,,金地（西安）STEM国际幼儿园,,,西安-雁塔区,,,4.5-5千/月,,,09-26
174,,,店面经理,,,西安市碑林区希望之海食品经销部,,,西安-莲湖区,,,0.8-1万/月,,,09-26
175,,,服务员,,,西安漫城咖啡有限公司,,,西安-碑林区,,,2-3千/月,,,09-26
176,,,员工厨师,,,西安西铁泰和兴实业有限公司,,,西安-高陵区,,,3-4.5千/月,,,09-26
177,,,***咖啡师（24元每小时）,,,瑞幸咖啡（中国）有限公司,,,西安,,,2-3千/月,,,09-26
178,,,厨师,,,西安方百建设有限公司,,,西安-雁塔区,,,2-3千/月,,,09-26
179,,,餐厅店长,,,西安蜀参谋餐饮管理有限公司,,,西安,,,0.8-1万/月,,,09-26
180,,,店铺督导,,,广州尚曼实业有限公司,,,异地招聘,,,1-1.8万/月,,,09-26
181,,,店长,,,陕西瞬恒文化传播有限责任公司,,,西安,,,4.5-6千/月,,,09-26
182,,,会所厨师(急聘),,,陕西英泰置业有限公司,,,西安-曲江文化新区,,,5-7千/月,,,09-26
183,,,项目总监（餐饮）,,,陕西玖膳餐饮管理有限公司,,,西安-雁塔区,,,0.8-1.5万/月,,,09-26
184,,,咖啡师,,,丞家（上海）公寓管理有限公司,,,西安,,,4-6千/月,,,09-26
185,,,礼仪,,,陕西启迪科技园发展有限公司,,,西安,,,3-4千/月,,,09-26
186,,,店长,,,西安泰和飞马餐饮管理有限公司,,,西安-未央区,,,5-7千/月,,,09-26
187,,,店长,,,西安大唐尚美文化传播有限公司,,,西安-灞桥区,,,1-1.5万/月,,,09-26
188,,,餐饮店长,,,西安地铁置业有限公司,,,西安-雁塔区,,,6-8千/月,,,09-26
189,,,储备店长3000+ 西安社保+寒暑假,,,西安益智雅思教育科技有限公司,,,西安-灞桥区,,,3.2-6.5千/月,,,09-26
190,,,店长（西安大融城）,,,卡尔丹顿服饰股份有限公司,,,西安-未央区,,,0.8-1.2万/月,,,09-26
191,,,轻餐饮研发经理,,,西安迈德思餐饮管理有限公司,,,西安,,,1-1.5万/月,,,09-26
192,,,运营区域经理5500,,,西安每一天便利超市连锁有限公司,,,西安-碑林区,,,5-8千/月,,,09-26
193,,,服务员,,,陕西中尧实业有限公司,,,西安-雁塔区,,,3-4.5千/月,,,09-26
194,,,榆林直营店长,,,陕西科福实业有限公司,,,异地招聘,,,6-8千/月,,,09-26
195,,,Assistant Store Manager 店副理 ID12100,,,星巴克企业管理（中国）有限公司,,,西安,,,None,,,09-26
196,,,厨师,,,宏大建设集团有限公司,,,西安-未央区,,,6-8千/月,,,09-26
197,,,店长,,,西安伟业果品有限公司,,,西安,,,3-5千/月,,,09-25
198,,,茶艺师,,,西安派源商贸有限公司,,,西安,,,3.5-5.5千/月,,,09-25
199,,,KTV总经理助理-副店长（西安）,,,江西爱魅文化科技有限公司北京分公司,,,西安,,,6-8千/月,,,09-25
200,,,双休招厨师,,,陕西大唐世博教育科技有限公司,,,西安-新城区,,,4-5千/月,,,09-25
201,,,销售主管（服装行业）,,,陕西佳旺实业有限公司,,,西安,,,0.8-1万/月,,,09-25
202,,,茶馆服务员茶艺师,,,陕西杨凌明和盛环保新材料有限公司,,,西安-雁塔区,,,3-5千/月,,,09-25
203,,,储备店长,,,陕西乾忠超优商贸有限公司,,,西安-碑林区,,,3-4.5千/月,,,09-25
204,,,员工餐厨师,,,西安恒泰汽车服务有限公司,,,西安,,,3-4.5千/月,,,09-25
205,,,店面收银,,,西安市高新区顺心鱼馆,,,西安-雁塔区,,,2.5-4千/月,,,09-25
206,,,主厨,,,西安保利和乐教育科技有限公司,,,西安-未央区,,,3-4.5千/月,,,09-25
207,,,华润太平洋咖啡咖啡师（西安）,,,华润太平洋餐饮管理（北京）有限公司,,,西安,,,2-3千/月,,,09-25
208,,,茶艺师,,,西安康牌医药有限公司,,,西安-雁塔区,,,2-3千/月,,,09-25
209,,,店长,,,奥普集成吊顶居然之家店,,,西安-高陵区,,,4-8千/月,,,09-25
210,,,水吧员,,,西安祥生置业有限公司,,,西安-�哄鄙�态区,,,3-4.5千/月,,,09-25
211,,,餐厅传菜员,,,陕西气象宾馆,,,西安-莲湖区,,,2-3千/月,,,09-25
212,,,收银员,,,西安雨润农产品全球采购有限公司,,,西安-经济技术开发区,,,2-3千/月,,,09-25
213,,,临潼汉堡王餐厅员工组长,,,汉堡王（北京）餐饮管理有限公司,,,西安,,,2-3千/月,,,09-25
214,,,餐饮包间接待,,,西安西京国际饭店有限公司,,,西安-莲湖区,,,3-4.5千/月,,,09-25
215,,,配菜员,,,西安市王妈餐饮管理有限责任公司,,,西安-碑林区,,,2-3千/月,,,09-25
216,,,前台接待,,,龙湖物业,,,西安-长安区,,,3-4.5千/月,,,09-25
217,,,幼儿园厨师,,,杭州海亮学前教育集团有限公司,,,西安-莲湖区,,,2.8-3.5千/月,,,09-25
218,,,售楼部客服3800包吃住,,,融创物业服务集团有限公司西安分公司,,,异地招聘,,,3.8-4.3千/月,,,09-25
219,,,理货员/收银员,,,西安松林超级市场有限公司,,,西安,,,2-3千/月,,,09-25
220,,,西餐厨师,,,西安开元名都大酒店,,,西安-碑林区,,,2-3千/月,,,09-25
221,,,西点饮品店店长,,,天津金麦籽食品有限公司,,,西安-未央区,,,3-7千/月,,,09-25
222,,,中餐厨师,,,陕西伟智招标咨询有限公司,,,西安-高新技术产业开发区,,,0.8-1万/月,,,09-25
223,,,餐厅营运经理,,,西安��爱酒店管理有限公司�哄狈止�司,,,西安,,,0.4-1万/月,,,09-24
224,,,会务专员,,,深圳市维也纳国际酒店管理有限公司,,,西安-雁塔区,,,2.6-5千/月,,,09-24
225,,,餐饮砧板,,,西安市福味居餐饮有限公司,,,西安-未央区,,,2.7-3.5千/月,,,09-24
226,,,影院经理,,,大地影院发展有限公司,,,西安,,,5-8千/月,,,09-24
227,,,餐厅经理,,,陕西新东方烹饪培训学校,,,西安,,,6-8千/月,,,09-24
228,,,雁塔区寿司厨师,,,上海毕占实业有限公司,,,西安-雁塔区,,,4.5-7.5千/月,,,09-23
229,,,助理秘书/商务助理/包吃住当天上班,,,广州濠门酒店管理有限公司,,,异地招聘,,,500元/天,,,09-23
230,,,厨师,,,西安梧桐树网络科技有限公司,,,西安-雁塔区,,,3-4.5千/月,,,09-23
231,,,店长,,,西安市碑林区万辉珠宝批发部,,,西安,,,3.5-6千/月,,,09-23
232,,,面包督导,,,奈雪的茶,,,西安-碑林区,,,0.8-1万/月,,,09-22
233,,,收银员,,,西安和平果业有限责任公司,,,西安-未央区,,,3-4千/月,,,09-22
234,,,店长助理,,,陕西丰禾金浓电子商务有限公司,,,异地招聘,,,6-8千/月,,,09-22
235,,,店长,,,西安道通天下茶业有限公司,,,西安-未央区,,,4.5-6千/月,,,09-22
236,,,厨师,,,陕西国艺木业有限公司,,,西安-长安区,,,2-3千/月,,,09-22
237,,,店长,,,东原集团,,,西安-雁塔区,,,8-12万/年,,,09-21
238,,,国际名表店收银员―西安,,,深圳市亨吉利世界名表中心有限公司,,,西安-碑林区,,,4-4.5千/月,,,09-21
239,,,面点/西点/裱花师,,,西安国际空港食品有限公司,,,西安,,,4.5-6千/月,,,09-21
240,,,员工食堂厨师,,,西安国本生物科技有限责任公司,,,西安-长安区,,,2-3千/月,,,09-21
241,,,服务员,,,西安大融城购物中心,,,西安-经济技术开发区,,,3-4.5千/月,,,09-21
242,,,收银员（3500包食宿）,,,西安市莲湖区银河国际商务会所,,,西安-莲湖区,,,3-4.5千/月,,,09-20
243,,,名创优品店经理（西安包住）,,,名创优品（广州）有限责任公司,,,西安,,,4-7.5千/月,,,09-20
244,,,福奈特洗衣前台,,,陕西福奈特洗衣服务有限公司,,,西安-雁塔区,,,3-4.5千/月,,,09-20
245,,,餐饮专员,,,陕西和记万佳实业集团有限公司,,,西安-雁塔区,,,3-4.5千/月,,,09-20
246,,,4S店客服茶水员,,,西安白云吉祥汽车销售服务有限公司,,,西安,,,3-4.5千/月,,,09-20
247,,,年薪十万招随船厨师,,,郑州盛航船务有限公司,,,异地招聘,,,0.8-1.2万/月,,,09-19
248,,,会议中心主管,,,水禾测绘信息技术有限公司,,,西安,,,2.5-5千/月,,,09-19
249,,,餐厅领班,,,西安鼎泰丰餐厅,,,西安-碑林区,,,4.5-6千/月,,,09-19
250,,,面点师傅,,,灞桥区红旗街办小明星幼儿园,,,西安-未央区,,,3-5千/月,,,09-19
